start,end,title,url,location,tags,notes,data,id,lat,lon
2016-10-28,2016-10-29,Campetto responsabilità,https://images.tommi.space/index?/category/campetto-di-responsabilita,Laigueglia,scout,,,,,
,2019-03-16,Uscita di Clan,https://images.tommi.space/index?/category/uscita-di-clan-a-colla-micheri,Colla Micheri,scout,,,,,
,2019-05-26,Caccia di Primavera,https://images.tommi.space/index?/category/caccia-di-primavera-2019,Imperia,scout,,,,,
,2021-01-04,Partenza,https://images.tommi.space/index?/category/partenza,Riva Ligure,scout,,,,,
2018-07-20,2018-07-28,Giffoni Film Festival,https://www.giffonifilmfestival.it/diario-gff-2018.html,Giffoni,giffoni,come giurato Generator +18,"<a href=""https://images.tommi.space/index?/category/giffoni-2018"" target=""_blank"" title=""Giffoni 2018"">foto</a>, <a href=""https://www.flickr.com/photos/giffonifilmfestival/collections/72157672241562127/"" target=""_blank"" title=""Giffoni 2018"">foto di Giffoni</a>",gff2018,,
2019-07-19,2019-07-27,Giffoni Film Festival,https://www.giffonifilmfestival.it/diario-gff-2019.html,Giffoni,giffoni,in Masterclass Cult,"<a href=""https://images.tommi.space/index?/category/giffoni-2019"" target=""_blank"" title=""Giffoni 2019"">foto</a>, <a href=""https://www.flickr.com/photos/giffonifilmfestival/collections/72157709275531493/"" target=""_blank"" title=""Giffoni 2019"">foto di Giffoni</a>",gff2019,,
2020-03-01,2020-05-30,Resto a Casa Cineforum,https://www.instagram.com/iorestoacasa_cineforum/,online,giffoni,,,,,
2020-08-18,2020-08-29,Giffoni Film Festival,https://www.giffonifilmfestival.it/diario-gff-2020.html,Giffoni,giffoni,,"<a href=""https://www.flickr.com/photos/giffonifilmfestival/collections/72157715587418446/"" target=""_blank"" title=""Giffoni 2020"">foto di Giffoni</a>",gff2019,,
2020-12-26,2020-12-30,Giffoni Winter Edition,https://www.giffonifilmfestival.it/news-giffoni-experience/item/8647-giffoni50-winter-edition-ecco-il-programma.html,online,giffoni,,,,,
,2017-05-27,Con-fusion in an old station,https://images.tommi.space/index?/category/confusion-in-an-old-station,"Sede Club Tenco, Sanremo",tenco,,"<a href=""https://vimeo.com/xplosionmind/unmatto"" target=""_blank"" title=""“Un Matto” videoclip"">videoclip</a>, <a href=""http://www.riviera24.it/evento/confusion-in-an-old-station-in-mostra-le-opere-degli-studenti-del-liceo-cassini-di-sanremo/"" target=""_blank"" title=""Confusion in an old station – in mostra le opere degli studenti del liceo Cassini di Sanremo"">articolo Riviera24</a>, <a href=""http://www.sanremonews.it/2017/05/26/leggi-notizia/argomenti/eventi-1/articolo/sanremo-nella-sede-del-club-tenco-la-mostra-confusion-in-an-old-station-degli-studenti-del-li.html"" target=""_blank"" title=""Sanremo nella sede del Club Tenco la mostra Confusion in an old station degli studenti del Liceo Cassini"">articolo Sanremonews</a>",confusion,,
2017-10-19,2017-10-21,Premio Tenco,https://images.tommi.space/index?/category/tenco2017,Teatro Ariston di Sanremo,tenco,,,,,
2018-10-18,2018-10-20,Premio Tenco,https://images.tommi.space/index?/category/tenco2018,Teatro Ariston di Sanremo,tenco,,,,,
,2019-05-10,Viva Vecchioni,https://images.tommi.space/index?/category/viva-vecchioni,Teatro del Casino di Sanremo,tenco,,,vecchioni-tenco,,
2019-10-17,2019-10-19,Premio Tenco,https://images.tommi.space/index?/category/tenco2019,Teatro Ariston di Sanremo,tenco,,,tenco2019,,
,2019-01-16,Liberamente musica,https://images.tommi.space/index?/category/liberamente-musica,"Sede Club Tenco, Sanremo",libera tenco,,,,,
,2019-03-21,Giornata della memoria e dell’impegno,https://images.tommi.space/index?/category/libera-21-marzo-2019,Sanremo,libera,,,,,
,2020-03-23,diretta con il PD di Sanremo,https://it-it.facebook.com/551177158313780/videos/1280858522118804/,online,libera,"in questa diretta ho parlato del podcast <a href=""https://www.spreaker.com/show/libera-in-pillole"" target=""_blank"" title=""LIBERA IN PILLOLE"">Libera in pillole</a>",,,,
,2015-05-17,YAMAHA OrchestranDo Music Festival,https://images.tommi.space/index?/category/orchestrando-festival-2015,Jesolo,orchestrando music,,,orchestrando2015,,
